Date,Discharge,Velocity,Temperature,Salinity,Prior,ALL
119,8508.382563,0.11835752,16.51,612,86.6,63
120,7939.544347,0.112031704,17.24,600,63,53
121,7378.357163,0.103387245,15.36,584,53,31
122,9291.746433,0.128425241,14.94,557,31,131
123,8996.358676,0.124699793,14.14,543,131,495
124,9982.621693,0.136974902,13.95,548,495,313
125,9114.401979,0.12644923,12.89,553,313,213
126,5321.457879,0.076673186,12.97,553,213,111
127,6167.387745,0.088105322,12.83,567,111,131
128,11742.51224,0.158291943,12.11,537,131,495
129,16930.69323,0.216088738,11.49,523,495,90
130,23879.49083,0.28512058,11.47,534,90,6382.333333
131,31196.53769,0.349906392,11.6,460,6382.333333,595
132,34369.74252,0.375268141,11.44,409,595,6023
133,36948.78704,0.396927228,11.44,394,6023,533
134,37273.16505,0.398947776,12.21,379,533,4400
135,38120.27205,0.405186702,11.52,404,4400,7800
136,39238.82239,0.4133711,12.82,386,7800,5716
137,41049.55765,0.425898293,13.33,383,5716,4300
138,43912.10099,0.445696495,14,353,4300,7000
139,46006.98335,0.459941518,15.5,337,7000,5800
140,48679.30329,0.476569909,15.37,303,5800,5200
141,52367.24822,0.498582609,15.34,313,5200,5260
142,55246.26981,0.516188836,17.91,279,5260,4838
143,56696.11832,0.524592087,18.86,282,4838,14000
144,58156.91115,0.533026468,19.92,289,14000,16001
145,56546.07547,0.524662772,20.01,295,16001,16000
146,53910.64114,0.509477464,19.95,319,16000,18000
147,50568.98393,0.489631336,20.14,294,18000,20082.5
148,50020.51903,0.484867061,20.39,261,20082.5,17060
149,51692.821,0.495036505,21.23,223,17060,15343.33333
150,55606.03248,0.51825984,21.94,212,15343.33333,13320
151,59448.32407,0.538774348,22.66,223,13320,15575.25
152,62831.58339,0.556729253,23.4,232,15575.25,11903.33333
153,54793.27747,0.525956268,23.89,249,11903.33333,7135.333333
154,9889.625049,0.137015907,23.62,318,7135.333333,8782.5
155,6456.300281,0.092166549,24.89,331,8782.5,1062.5
156,6954.571829,0.098212125,24.74,366,1062.5,418.4
157,7598.984239,0.106960393,25.36,425,418.4,45.33333333
158,7762.470534,0.108873458,25.28,654,45.33333333,482.5
159,7051.900757,0.099690129,27.98,739,482.5,1111.833333
160,9192.33594,0.12679333,26.58,583,1111.833333,144.4
161,7738.638527,0.108924704,29.33,560,144.4,2731.066667
162,6831.439132,0.096725007,26.34,577,2731.066667,2331.4
163,7143.117121,0.10096908,23.71,551,2331.4,1037
164,6700.388699,0.095098663,22.48,540,1037,184.5
165,6717.8692,0.095362237,21.84,557,184.5,377.6
166,7546.030808,0.106220066,20.79,568,377.6,83
167,7236.813447,0.102030186,19.48,581,83,117
168,6634.785593,0.094539007,18.04,581,117,9.2
169,6775.869574,0.09599126,18.03,585,9.2,10.5
170,6571.865374,0.093269426,18.68,597,10.5,91
171,5119.176595,0.073949206,18.12,617,91,71
172,5889.737787,0.084239948,16.59,622,71,61
173,5461.030382,0.078607792,14.53,599,61,36.5
174,5658.553625,0.081201629,14.55,587,36.5,66.5
175,13053.48263,0.173224373,14.82,541,66.5,561.5
176,12378.33978,0.166027596,13.02,555,561.5,1061.5
177,10649.11046,0.145179321,12.43,539,1061.5,2080
178,7518.377517,0.106227107,11.61,516,2080,820
179,7324.14569,0.103273162,11.45,489,820,247
180,6082.309844,0.087342837,11.4,507,247,610
181,5720.361669,0.082033094,10.61,486,610,910
182,6113.459599,0.08769176,10.22,466,910,489
183,4100.240464,0.060063891,10.57,446,489,16593
184,3326.561676,0.04899457,10.55,456,16593,73
185,3586.393251,0.052750947,10.45,488,73,800
186,3664.802262,0.053720816,11.46,502,800,1900
187,3521.0067,0.051788136,12.06,536,1900,90
188,3952.179971,0.057825253,12.02,614,90,27
189,5518.871084,0.078766777,13.47,611,27,227
190,4941.220625,0.071609708,14.52,570,227,539
191,8104.601877,0.113250768,16.21,579,539,1118
192,10257.22587,0.140130394,17.44,609,1118,2773
193,13364.72267,0.177235403,18.15,656,2773,4250
194,8934.974757,0.124292404,18.99,729,4250,8240
195,2785.769165,0.041431184,18.63,570,8240,8058
196,2623.37899,0.038809331,20.39,593,8058,3090
197,5246.626515,0.076510393,22.06,635,3090,1718
198,5182.399713,0.074560414,21.7,708,1718,329
199,4467.706034,0.065399135,22.56,732,329,80
200,3543.801982,0.051975462,22.73,709,80,71
201,3438.19061,0.050583792,25.89,753,71,110
202,3357.920747,0.049322117,25.14,765,110,70
203,4689.337763,0.067984705,25.2,725,70,90
204,3876.690901,0.05676943,23.5,735,90,120
205,6010.983261,0.085729946,25.04,662,120,140
206,4592.377556,0.066796314,25.35,670,140,218
207,2853.336923,0.042197458,23.31,691,218,418
208,5148.54832,0.074082113,26.2,638,418,21
209,6189.722794,0.088435449,24.98,565,21,60
210,5196.405975,0.074939568,23.75,572,60,81.66666667
211,4140.908342,0.06045336,24.6,569,81.66666667,37
212,4546.349288,0.065855125,24.51,560,37,525
213,5036.494391,0.072856052,23.58,557,525,46.5
214,3775.506943,0.055272967,25.88,570,46.5,55
215,3117.412262,0.046080296,23.8,601,55,13
216,3367.412395,0.049539766,24.08,608,13,351
217,3625.785385,0.053196541,23.42,597,351,251
218,3696.950006,0.054112619,21.24,598,251,151
219,4322.364046,0.063061367,19.87,599,151,14.66666667
220,3020.677532,0.044682252,18.59,618,14.66666667,24.66666667
221,2938.615667,0.043391069,16.99,620,24.66666667,44.66666667
222,5363.499891,0.077053621,16.84,613,44.66666667,88
223,4122.149729,0.060089075,16.16,643,88,121
224,2948.001746,0.043606718,15.29,654,121,518
225,2124.899589,0.031718958,14.93,670,518,121
226,2509.710015,0.037310943,15.26,715,121,60
227,2475.47966,0.036808728,14.17,744,60,81.66666667
228,3140.740621,0.046308251,14.14,746,81.66666667,137
229,3727.860322,0.054719336,12.43,765,137,525
230,3427.375054,0.050439992,12.05,760,525,246.5
231,2572.420149,0.038211687,10.96,779,246.5,155
232,2537.445452,0.037711042,11.09,803,155,113
233,2741.865653,0.04065417,11,804,113,351
234,3491.851245,0.05136995,10.71,793,351,251
235,3115.50505,0.046004447,11.74,748,251,171
236,3452.418298,0.05081787,10.89,723,171,14.66666667
237,3486.992602,0.051282168,11.86,662,14.66666667,51
238,4703.686661,0.068135996,12.95,739,51,151
239,3436.849693,0.050744326,13.26,668,151,132
240,2841.013629,0.042053087,13.98,666,132,72
241,3461.374254,0.050820195,15.39,717,72,92
242,4676.258246,0.067651096,15.48,665,92,112
243,16223.40548,0.206926769,15.91,588,112,122
244,21738.19623,0.265927552,17,463,122,135
245,21883.20903,0.267540811,18.72,426,135,1252
246,25062.15633,0.296862394,17.92,380,1252,650
247,29507.40658,0.335436575,18.09,383,650,390
248,32250.04042,0.359087324,18.16,352,390,3055
249,31370.75365,0.353549711,18.23,360,3055,15920
250,23805.42094,0.288293163,19.31,370,15920,15100
251,17156.79278,0.219141709,19.71,461,15100,6350
252,17643.51234,0.223881387,21.22,521,6350,7630
253,19577.25426,0.243085462,23.39,380,7630,3500
254,25216.97964,0.298851847,24.1,345,3500,3530
255,26812.59625,0.313212566,24.51,348,3530,10155
256,19620.7729,0.244665915,25.88,401,10155,4130
257,18069.98457,0.228670532,25.73,449,4130,4770
258,16051.48522,0.208047977,25.06,457,4770,3600
259,11766.02754,0.15961956,28.33,453,3600,2143
260,12452.39073,0.165314058,27.7,476,2143,790
261,7860.051024,0.110725374,26.26,494,790,652
262,6602.099752,0.093717539,26.33,526,652,370.5
263,6662.104375,0.094583566,27.35,514,370.5,370.5
264,6717.019271,0.095258111,26.73,505,370.5,267
265,12863.88149,0.16994191,26.78,487,267,497
266,11776.6632,0.158769384,25.4,484,497,1141.5
267,10792.04443,0.146804297,26.66,495,1141.5,605.5
268,8453.015487,0.11802975,25.83,495,605.5,944
269,7433.299778,0.104751137,23.65,472,944,258
270,8387.365843,0.11696402,22,470,258,81.5
271,8895.199683,0.123786842,19.25,485,81.5,348
272,10656.37286,0.144483112,18.37,484,348,248
273,13222.22392,0.175377311,19.18,436,248,807
274,10344.13088,0.142148773,17.7,435,807,607
275,7865.40153,0.110104582,15.77,447,607,256.5
276,7789.88806,0.109621302,15.55,464,256.5,2143
277,7484.792413,0.105188029,15.4,483,2143,790
278,9907.854505,0.135925566,15,423,790,652
279,8536.104727,0.119018085,14.8,378,652,370.5
280,8449.28795,0.117621486,14.27,394,370.5,370.5
281,9461.39879,0.130649047,13.65,431,370.5,267
282,8703.722607,0.12105258,11.95,473,267,577
283,10479.33337,0.142799066,11.61,441,577,1141.5
284,12594.36096,0.168376329,11.71,441,1141.5,605.5
285,12433.00392,0.166631027,11.87,413,605.5,944
286,12074.16788,0.16248535,12.37,426,944,258
287,9149.650664,0.127261155,12.39,430,258,81.5
288,5725.174023,0.082091004,12.69,542,81.5,348
289,5548.59533,0.079980954,12.19,495,348,248
290,6794.082039,0.0958141,12.95,531,248,807
291,5274.210714,0.07627617,13.54,546,807,607
292,2685.291037,0.039874485,14.32,604,607,256.5
293,5143.00384,0.073638143,15.89,658,256.5,216.5
294,11466.5083,0.155074976,15.8,539,216.5,240
295,10304.51004,0.140815546,16.12,542,240,180
296,11770.06963,0.15926697,16.54,473,180,150
297,5703.395277,0.082055654,18.98,479,150,130
298,7440.955575,0.104175656,20.5,466,130,120
299,7514.002914,0.105735195,21.81,450,120,110
300,7881.33102,0.110562123,20.92,490,110,110
301,6909.367654,0.097910206,20.33,470,110,47
302,7046.084435,0.099634424,20.64,446,47,93
303,8243.867489,0.115056689,19.48,445,93,208
304,7531.899836,0.105947354,20.17,462,208,460
305,8236.041842,0.114882203,21.63,469,460,162
306,8489.337823,0.118674878,24.2,458,162,278
307,6528.401507,0.093203366,24.86,523,278,86
308,3985.620648,0.058249589,23.38,536,86,80
309,4188.324664,0.061073203,23.1,515,80,60
310,4476.150455,0.065031122,23.27,522,60,216
311,4450.019849,0.064707473,23.2,517,216,34.5
312,4062.557267,0.059318794,25.68,550,34.5,44
313,3742.834314,0.054856185,26.8,569,44,71
314,3581.501779,0.052569396,23.45,589,71,51
315,3880.228963,0.05682023,27.15,613,51,1144
316,3523.861531,0.051791906,26.33,631,1144,83
317,3632.242526,0.053255191,26.46,689,83,51
318,7175.265001,0.100869569,27.2,621,51,22
319,6327.379627,0.090151974,26.98,585,22,55
320,3567.207003,0.052505877,25.83,583,55,155
321,4054.462461,0.059188946,24,624,155,268.1666667
322,4149.876643,0.060606262,22.17,652,268.1666667,245
323,4627.462667,0.067170306,21.26,656,245,103
324,3927.949741,0.057510146,20.01,649,103,45
325,6044.235424,0.08640781,20.44,629,45,65
326,7517.77527,0.105786361,19.94,608,65,40
327,7183.026501,0.101520577,18.07,583,40,30
328,6662.430295,0.094788872,17.69,568,30,19.5
329,5549.667354,0.079864909,16.84,549,19.5,296.6666667
330,5347.100394,0.07704828,16.19,562,296.6666667,30.33333333
331,5108.392192,0.073819136,15.09,580,30.33333333,27
332,5604.487095,0.080509064,13.32,569,27,72.5
333,5712.979625,0.082000382,12.65,546,72.5,85
334,5692.019394,0.081743504,11.82,527,85,94.83333333
335,5527.693286,0.079544585,11.73,531,94.83333333,75
336,5528.095745,0.079604721,11.37,510,75,178.25
337,5402.579648,0.077799556,11.69,535,178.25,266
338,5713.098539,0.081992105,11.53,511,266,472
339,6387.89629,0.091093682,11.37,475,472,975.3333333
340,7172.094322,0.101493671,11.6,454,975.3333333,1333.5
341,8046.173826,0.111964458,11.63,477,1333.5,2150.5
342,15253.25169,0.1977206,12.14,417,2150.5,1672.333333
343,16045.50944,0.207340971,12.09,328,1672.333333,4378.666667
344,12636.96294,0.169019117,12.18,356,4378.666667,5567.5
345,14931.87796,0.19483542,13.19,413,5567.5,7571.6
346,20193.83365,0.249850427,13.97,419,7571.6,3207.416667
347,23109.32648,0.27817057,14.54,412,3207.416667,9180.25
348,26235.52678,0.308113046,16.67,392,9180.25,5138.833333
349,25617.99482,0.304104636,18.09,384,5138.833333,13915.33333
350,22014.62208,0.268472882,18.53,338,13915.33333,2467
351,25957.77726,0.304193832,18.49,326,2467,6608
352,34297.13148,0.375551625,17.89,288,6608,9271.75
353,35630.81084,0.386266321,19.08,332,9271.75,1057.333333
354,32119.49866,0.360220627,20.24,309,1057.333333,1729.75
355,24830.22695,0.296067512,21.34,293,1729.75,1952.666667
356,22604.84293,0.274325908,23.71,262,1952.666667,2859.166667
357,24616.358,0.291801239,25.31,301,2859.166667,4270
